glytoucan_ac,byonic,name_source,composition,mass
G00002CF,Hex(2)NeuGc(2) % 956.29687423,G93218EI,Hex(2)NeuGc(2),956.29687423
G00009BX,HexNAc(2)Hex(2)dHex(1) % 894.33286578,G93579XB,HexNAc(2)Hex(2)dHex(1),894.33286578
G00012MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00012RZ,HexNAc(5)Hex(6)dHex(3)NeuAc(1) % 2734.99351197,G04784US,HexNAc(5)Hex(6)dHex(3)NeuAc(1),2734.99351197
G00013MO,Hex(4) % 666.2218587,G90306QO,Hex(4),666.2218587
G00014MO,HexNAc(2)Hex(2) % 748.27495691,G53434XO,HexNAc(2)Hex(2),748.27495691
G00015MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00016MO,Hex(2) % 342.1162117,G90627TW,Hex(2),342.1162117
G00017IP,HexNAc(4)Hex(3)Sulpho(1) % 1396.44334021,G67486RJ,HexNAc(4)Hex(3)Sulpho(1),1396.44334021
G00024MO,Hex(3) % 504.1690352,G39365VM,Hex(3),504.1690352
G00025HU,HexNAc(4)Hex(5)dHex(1)NeuAc(1) % 2077.74549812,G08293MJ,HexNAc(4)Hex(5)dHex(1)NeuAc(1),2077.74549812
G00025MO,Hex(4) % 666.2218587,G90306QO,Hex(4),666.2218587
G00025YC,HexNAc(5)Hex(5)dHex(1) % 1989.72945409,G85740DB,HexNAc(5)Hex(5)dHex(1),1989.72945409
G00026MO,HexNAc(2)Hex(3) % 910.32778041,G28681TP,HexNAc(2)Hex(3),910.32778041
G00027JG,HexNAc(2)Hex(2)dHex(2) % 1040.39077465,G51210WZ,HexNAc(2)Hex(2)dHex(2),1040.39077465
G00027MO,HexNAc(1)Hex(3) % 707.248407805,G08590QR,HexNAc(1)Hex(3),707.248407805
G00028MO,HexNAc(2)Hex(5) % 1234.43342741,G02815KT,HexNAc(2)Hex(5),1234.43342741
